,symbol,actual,predicted,date
132,AIG,75.7699966430664,76.05851,2024-11-15 00:00:00+00:00
133,AIG,76.30999755859375,75.88286,2024-11-18 00:00:00+00:00
134,AIG,75.30000305175781,75.1393,2024-11-19 00:00:00+00:00
135,AIG,74.66000366210938,75.14795,2024-11-20 00:00:00+00:00
136,AIG,75.9800033569336,75.66359,2024-11-21 00:00:00+00:00
137,AIG,76.05999755859375,76.04756,2024-11-22 00:00:00+00:00
138,AIG,75.94999694824219,76.53911,2024-11-25 00:00:00+00:00
139,AIG,76.30000305175781,75.76088,2024-11-26 00:00:00+00:00
140,CSCO,55.59000015258789,55.463062,2024-10-30 00:00:00+00:00
141,CSCO,54.77000045776367,55.596466,2024-10-31 00:00:00+00:00
142,CSCO,55.5,55.788902,2024-11-01 00:00:00+00:00
143,CSCO,55.83000183105469,55.489,2024-11-04 00:00:00+00:00
144,CSCO,56.15999984741211,55.5054,2024-11-05 00:00:00+00:00
145,CSCO,57.869998931884766,58.119846,2024-11-06 00:00:00+00:00
146,CSCO,58.08000183105469,58.12627,2024-11-07 00:00:00+00:00
147,CSCO,58.060001373291016,58.427013,2024-11-08 00:00:00+00:00
148,CSCO,58.630001068115234,58.094875,2024-11-11 00:00:00+00:00
149,CSCO,58.709999084472656,58.376163,2024-11-12 00:00:00+00:00
150,CSCO,59.18000030517578,57.78857,2024-11-13 00:00:00+00:00
151,CSCO,57.91999816894531,57.80539,2024-11-14 00:00:00+00:00
152,CSCO,57.459999084472656,57.730064,2024-11-15 00:00:00+00:00
153,CSCO,57.310001373291016,57.710297,2024-11-18 00:00:00+00:00
154,CSCO,57.0099983215332,58.138176,2024-11-19 00:00:00+00:00
155,CSCO,57.5,58.123016,2024-11-20 00:00:00+00:00
156,CSCO,57.560001373291016,58.111237,2024-11-21 00:00:00+00:00
157,CSCO,58.54999923706055,58.119087,2024-11-22 00:00:00+00:00
158,CSCO,58.7400016784668,58.12975,2024-11-25 00:00:00+00:00
159,CSCO,59.59000015258789,58.332226,2024-11-26 00:00:00+00:00
160,MCD,291.5199890136719,291.43033,2024-10-30 00:00:00+00:00
161,MCD,292.1099853515625,292.19748,2024-10-31 00:00:00+00:00
162,MCD,295.2099914550781,295.3516,2024-11-01 00:00:00+00:00
163,MCD,292.8500061035156,293.02902,2024-11-04 00:00:00+00:00
164,MCD,297.32000732421875,295.30652,2024-11-05 00:00:00+00:00
165,MCD,294.0,300.66776,2024-11-06 00:00:00+00:00
166,MCD,294.6600036621094,294.73352,2024-11-07 00:00:00+00:00
167,MCD,298.9700012207031,299.03018,2024-11-08 00:00:00+00:00
168,MCD,301.5299987792969,305.03336,2024-11-11 00:00:00+00:00
169,MCD,298.6499938964844,299.7864,2024-11-12 00:00:00+00:00
170,MCD,297.3500061035156,295.8673,2024-11-13 00:00:00+00:00
171,MCD,298.55999755859375,297.71408,2024-11-14 00:00:00+00:00
172,MCD,292.6300048828125,296.58078,2024-11-15 00:00:00+00:00
173,MCD,291.1000061035156,293.193,2024-11-18 00:00:00+00:00
174,MCD,290.7300109863281,289.76468,2024-11-19 00:00:00+00:00
175,MCD,290.9100036621094,288.6258,2024-11-20 00:00:00+00:00
176,MCD,288.4700012207031,286.3897,2024-11-21 00:00:00+00:00
177,MCD,290.2799987792969,288.62863,2024-11-22 00:00:00+00:00
178,MCD,296.19000244140625,293.78622,2024-11-25 00:00:00+00:00
179,MCD,296.3299865722656,293.86478,2024-11-26 00:00:00+00:00
180,CRBP,16.56999969482422,17.480307,2024-10-30 00:00:00+00:00
181,CRBP,15.960000038146973,16.603085,2024-10-31 00:00:00+00:00
182,CRBP,16.920000076293945,17.3639,2024-11-01 00:00:00+00:00
183,CRBP,18.309999465942383,19.381254,2024-11-04 00:00:00+00:00
184,CRBP,19.149999618530273,19.502617,2024-11-05 00:00:00+00:00
185,CRBP,18.90999984741211,19.24794,2024-11-06 00:00:00+00:00
186,CRBP,18.520000457763672,21.754389,2024-11-07 00:00:00+00:00
187,CRBP,18.780000686645508,19.674526,2024-11-08 00:00:00+00:00
188,CRBP,18.59000015258789,19.82439,2024-11-11 00:00:00+00:00
189,CRBP,17.940000534057617,19.947111,2024-11-12 00:00:00+00:00
190,CRBP,18.170000076293945,17.856339,2024-11-13 00:00:00+00:00
191,CRBP,17.549999237060547,17.712374,2024-11-14 00:00:00+00:00
192,CRBP,16.610000610351562,18.125309,2024-11-15 00:00:00+00:00
193,CRBP,16.760000228881836,17.328506,2024-11-18 00:00:00+00:00
194,CRBP,16.559999465942383,17.548618,2024-11-19 00:00:00+00:00
195,CRBP,16.079999923706055,16.610342,2024-11-20 00:00:00+00:00
196,CRBP,16.729999542236328,16.56345,2024-11-21 00:00:00+00:00
197,CRBP,17.469999313354492,17.715368,2024-11-22 00:00:00+00:00
198,CRBP,17.950000762939453,18.508228,2024-11-25 00:00:00+00:00
199,CRBP,17.979999542236328,18.155504,2024-11-26 00:00:00+00:00
200,OXY,50.16999816894531,50.581615,2024-10-30 00:00:00+00:00
201,OXY,50.11000061035156,50.36404,2024-10-31 00:00:00+00:00
202,OXY,49.56999969482422,50.406696,2024-11-01 00:00:00+00:00
203,OXY,50.560001373291016,50.483578,2024-11-04 00:00:00+00:00
204,OXY,50.400001525878906,50.287666,2024-11-05 00:00:00+00:00
205,OXY,51.38999938964844,51.23977,2024-11-06 00:00:00+00:00
206,OXY,51.209999084472656,51.04901,2024-11-07 00:00:00+00:00
207,OXY,50.529998779296875,50.560986,2024-11-08 00:00:00+00:00
208,OXY,50.810001373291016,50.66927,2024-11-11 00:00:00+00:00
209,OXY,50.290000915527344,51.349182,2024-11-12 00:00:00+00:00
210,OXY,51.119998931884766,51.36739,2024-11-13 00:00:00+00:00
211,OXY,50.66999816894531,52.245415,2024-11-14 00:00:00+00:00
212,OXY,49.970001220703125,50.749676,2024-11-15 00:00:00+00:00
213,OXY,50.90999984741211,51.425453,2024-11-18 00:00:00+00:00
214,OXY,50.5,51.122555,2024-11-19 00:00:00+00:00
215,OXY,50.90999984741211,51.11413,2024-11-20 00:00:00+00:00
216,OXY,51.540000915527344,51.92878,2024-11-21 00:00:00+00:00
217,OXY,51.93000030517578,52.070316,2024-11-22 00:00:00+00:00
218,OXY,50.439998626708984,51.97676,2024-11-25 00:00:00+00:00
219,OXY,49.849998474121094,50.21033,2024-11-26 00:00:00+00:00
220,TRV,250.08999633789062,251.03836,2024-10-30 00:00:00+00:00
221,TRV,245.94000244140625,250.47932,2024-10-31 00:00:00+00:00
222,TRV,245.63999938964844,246.27173,2024-11-01 00:00:00+00:00
223,TRV,242.80999755859375,243.22647,2024-11-04 00:00:00+00:00
224,TRV,244.83999633789062,243.26399,2024-11-05 00:00:00+00:00
225,TRV,253.9499969482422,260.50403,2024-11-06 00:00:00+00:00
226,TRV,252.27999877929688,250.91087,2024-11-07 00:00:00+00:00
227,TRV,256.8900146484375,260.8548,2024-11-08 00:00:00+00:00
228,TRV,258.3599853515625,261.2032,2024-11-11 00:00:00+00:00
229,TRV,257.989990234375,260.8374,2024-11-12 00:00:00+00:00
230,TRV,256.6700134277344,260.20105,2024-11-13 00:00:00+00:00
231,TRV,256.5199890136719,261.99954,2024-11-14 00:00:00+00:00
232,TRV,260.82000732421875,261.4888,2024-11-15 00:00:00+00:00
233,TRV,262.69000244140625,263.16656,2024-11-18 00:00:00+00:00
234,TRV,259.2699890136719,262.04398,2024-11-19 00:00:00+00:00
235,TRV,257.19000244140625,262.04108,2024-11-20 00:00:00+00:00
236,TRV,260.80999755859375,261.7035,2024-11-21 00:00:00+00:00
237,TRV,262.4700012207031,261.95975,2024-11-22 00:00:00+00:00
238,TRV,261.2200012207031,260.02982,2024-11-25 00:00:00+00:00
239,TRV,263.7699890136719,261.41104,2024-11-26 00:00:00+00:00
240,CRWD,307.45001220703125,309.75906,2024-10-30 00:00:00+00:00
241,CRWD,296.8699951171875,304.45572,2024-10-31 00:00:00+00:00
242,CRWD,303.1300048828125,301.95636,2024-11-01 00:00:00+00:00
243,CRWD,298.8800048828125,300.04147,2024-11-04 00:00:00+00:00
244,CRWD,307.5799865722656,306.49332,2024-11-05 00:00:00+00:00
245,CRWD,320.0,322.2962,2024-11-06 00:00:00+00:00
246,CRWD,330.7799987792969,328.72525,2024-11-07 00:00:00+00:00
247,CRWD,330.0299987792969,328.66357,2024-11-08 00:00:00+00:00
248,CRWD,342.4200134277344,337.52487,2024-11-11 00:00:00+00:00
249,CRWD,343.5,338.04846,2024-11-12 00:00:00+00:00
250,CRWD,347.8800048828125,355.44254,2024-11-13 00:00:00+00:00
251,CRWD,344.3599853515625,345.3102,2024-11-14 00:00:00+00:00
252,CRWD,336.75,337.3709,2024-11-15 00:00:00+00:00
253,CRWD,342.9700012207031,341.94186,2024-11-18 00:00:00+00:00
254,CRWD,353.2900085449219,348.5429,2024-11-19 00:00:00+00:00
255,CRWD,350.1499938964844,351.63022,2024-11-20 00:00:00+00:00
256,CRWD,357.54998779296875,355.64603,2024-11-21 00:00:00+00:00
257,CRWD,372.260009765625,376.72647,2024-11-22 00:00:00+00:00
258,CRWD,363.67999267578125,372.9893,2024-11-25 00:00:00+00:00
259,CRWD,364.29998779296875,360.24466,2024-11-26 00:00:00+00:00
260,NOC,505.3399963378906,505.72885,2024-10-30 00:00:00+00:00
261,NOC,509.0199890136719,507.06552,2024-10-31 00:00:00+00:00
